,PUMA_GEOID,PUMA_NAME,UAC_POP,UAC_NAME,UAC_POP
1829,3401903,Union County (Southwest)--Plainfield City & Westfield Town (South) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1828,3401402,Essex County (South Central)--East Orange City PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1827,3400302,"Bergen County (Southwest)--Rutherford, North Arlington & Hasbrouck Heights Boroughs PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
1826,3401003,Somerset County (Central)--North Plainfield & Somerville Boroughs PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1825,3400902,Middlesex County (Southwest) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1824,3401203,Ocean County (North Central) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1823,0900102,Stamford & Greenwich Towns PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1841,3401002,Somerset County (South) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1843,3401502,Morris County (West) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1863,3401105,Monmouth County (Northwest)--Keansburg Borough PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1854,3400702,Hudson County (Northeast)--Union City & Hoboken Cities PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1862,3400901,Middlesex County (Southeast) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1861,3400907,Middlesex County (East Central)--Perth Amboy City & Sayreville Borough PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1860,3400905,Middlesex County (Northeast)--Carteret Borough PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1859,3401904,"Union County (Southeast)--Linden, Rahway Cities & Roselle Borough (South) PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
1858,3401800,Union County (Northeast)--Elizabeth City PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1857,3400703,"Hudson County (South & West)--Bayonne City, Kearney & Harrison Towns PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
1856,3400602,Hudson County (Central)--Jersey City (South) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1853,3401106,Monmouth County (Central) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1844,3401501,Morris County (North)--Dover Town & Kinnelon Borough PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1852,3400906,"Middlesex County (Central)--New Brunswick City, South River & Highland Park Boroughs PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
1851,3401901,Union County (North Central)--Roselle Park Borough PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1850,3400502,Passaic County (Central)--Hawthorne Borough & Clifton City (Northwest) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1849,3401503,Morris County (East)--Lincoln Park Borough PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1848,3401102,Monmouth County (Southwest)--Freehold Borough PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1847,3401204,Ocean County (Northwest) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1846,3401302,Essex County (Southeast)--Newark City (Southwest) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1845,3400307,"Bergen County (North Central)--Bergenfield, Paramus, Dumont & New Milford Boroughs PUMA",63217,"New York--Newark, NY--NJ--CT",18972363
1855,3400601,Hudson County (Central)--Jersey City (North) PUMA,63217,"New York--Newark, NY--NJ--CT",18972363
1502,0603706,Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1500,0603747,Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1499,0603750,Los Angeles County (South Central)--LA City (South Central/Westmont) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1498,0603757,Los Angeles County (South Central)--Compton City & West Rancho Dominguez PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1497,0605916,Orange County (Central)--Santa Ana City (West) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1533,0605910,Orange County (North Central)--Anaheim City (East) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1507,0603739,Los Angeles County (Southeast)--Whittier City & Hacienda Heights PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1506,0603732,Los Angeles County (Central)--LA City (East Central/Hollywood) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1534,0605911,Orange County (Central)--Orange & Villa Park Cities PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1535,0605905,"Orange County (Northeast)--Lake Forest, Irvine (North) Cities & Silverado PUMA",51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1536,0603758,"Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens PUMA",51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1537,0603709,Los Angeles County (Central)--San Gabriel Valley Region (North) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1538,0603710,"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities PUMA",51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1539,0603711,"Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities PUMA",51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1540,0603723,Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1505,0603745,Los Angeles County (Central)--LA City (Southeast/East Vernon) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1541,0603720,Los Angeles County (Central)--Burbank City PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1542,0603736,Los Angeles County (Central)--Alhambra & South Pasadena Cities PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1496,0605917,Orange County (Central)--Santa Ana City (East) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1495,0607111,San Bernardino County (Southwest)--Rancho Cucamonga City PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1494,0607112,San Bernardino County (Southwest)--Upland & Montclair Cities PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1493,0605918,Orange County (Central)--Costa Mesa & Fountain Valley Cities PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1492,0605903,"Orange County (West Central)--Newport Beach, Aliso Viejo & Laguna Hills Cities PUMA",51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1491,0603725,"Los Angeles County--LA City (Northwest/Canoga Park, Winnetka & Woodland Hills) PUMA",51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
1501,0603705,Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch) PUMA,51445,"Los Angeles--Long Beach--Anaheim, CA",12638616
