GEOIDUS,GEODISPLAB,GCTARGID,GEOID,GCDISPLAB,GCLAB,2010,2011,2012,2013,2014,2015,2016
0100000US,United States,310M300US22420,22420,"United States - Flint, MI Metro Area","Flint, MI Metro Area",425056,421773,418029,415553,412813,410442,408615
0100000US,United States,310M300US22500,22500,"United States - Florence, SC Metro Area","Florence, SC Metro Area",205680,205736,206153,206146,206702,206341,205976
0100000US,United States,310M300US22520,22520,"United States - Florence-Muscle Shoals, AL Metro Area","Florence-Muscle Shoals, AL Metro Area",147268,147053,147187,147169,147432,146772,146534
0100000US,United States,310M300US22540,22540,"United States - Fond du Lac, WI Metro Area","Fond du Lac, WI Metro Area",101709,101902,101865,101868,102018,101943,102144
0100000US,United States,310M300US22660,22660,"United States - Fort Collins, CO Metro Area","Fort Collins, CO Metro Area",300523,305267,310965,316605,324709,333869,339993
0100000US,United States,310M300US22900,22900,"United States - Fort Smith, AR-OK Metro Area","Fort Smith, AR-OK Metro Area",280712,281018,280830,280070,279967,280445,281227
0100000US,United States,310M300US23060,23060,"United States - Fort Wayne, IN Metro Area","Fort Wayne, IN Metro Area",416913,419811,421749,424241,426613,429372,431802
0100000US,United States,310M300US23420,23420,"United States - Fresno, CA Metro Area","Fresno, CA Metro Area",932463,940496,946844,953762,963151,972130,979915
0100000US,United States,310M300US23460,23460,"United States - Gadsden, AL Metro Area","Gadsden, AL Metro Area",104449,104236,104215,103790,103371,102873,102564
0100000US,United States,310M300US23540,23540,"United States - Gainesville, FL Metro Area","Gainesville, FL Metro Area",264620,266709,268473,269548,272759,276583,280708
0100000US,United States,310M300US23580,23580,"United States - Gainesville, GA Metro Area","Gainesville, GA Metro Area",180002,182878,184929,187373,190215,193257,196637
0100000US,United States,310M300US23900,23900,"United States - Gettysburg, PA Metro Area","Gettysburg, PA Metro Area",101475,101650,101535,101407,101612,102063,102180
0100000US,United States,310M300US24020,24020,"United States - Glens Falls, NY Metro Area","Glens Falls, NY Metro Area",128999,128806,128484,127922,127324,126782,126367
0100000US,United States,310M300US24140,24140,"United States - Goldsboro, NC Metro Area","Goldsboro, NC Metro Area",122908,124042,124551,124634,124583,124319,124150
0100000US,United States,310M300US24220,24220,"United States - Grand Forks, ND-MN Metro Area","Grand Forks, ND-MN Metro Area",98621,98194,99189,100956,101603,102226,102743
0100000US,United States,310M300US24260,24260,"United States - Grand Island, NE Metro Area","Grand Island, NE Metro Area",82063,82700,83428,83990,84566,84773,85148
0100000US,United States,310M300US24300,24300,"United States - Grand Junction, CO Metro Area","Grand Junction, CO Metro Area",146486,147172,147471,147372,147502,148401,150083
0100000US,United States,310M300US24340,24340,"United States - Grand Rapids-Wyoming, MI Metro Area","Grand Rapids-Wyoming, MI Metro Area",989543,996657,1007358,1018731,1029340,1038337,1047099
0100000US,United States,310M300US24420,24420,"United States - Grants Pass, OR Metro Area","Grants Pass, OR Metro Area",82865,82638,82798,83268,83604,84742,85904
0100000US,United States,310M300US24500,24500,"United States - Great Falls, MT Metro Area","Great Falls, MT Metro Area",81532,81784,81767,82367,82236,82118,81755
0100000US,United States,310M300US24540,24540,"United States - Greeley, CO Metro Area","Greeley, CO Metro Area",254164,258629,263997,270182,276163,285053,294932
0100000US,United States,310M300US24580,24580,"United States - Green Bay, WI Metro Area","Green Bay, WI Metro Area",306741,308780,311053,312483,314590,316413,318236
0100000US,United States,310M300US24660,24660,"United States - Greensboro-High Point, NC Metro Area","Greensboro-High Point, NC Metro Area",725135,730168,735776,741009,746804,751776,756139
0100000US,United States,310M300US24780,24780,"United States - Greenville, NC Metro Area","Greenville, NC Metro Area",168825,170756,172913,174332,175105,176182,177220
0100000US,United States,310M300US24860,24860,"United States - Greenville-Anderson-Mauldin, SC Metro Area","Greenville-Anderson-Mauldin, SC Metro Area",825800,833486,841636,849359,861119,873231,884975
0100000US,United States,310M300US25060,25060,"United States - Gulfport-Biloxi-Pascagoula, MS Metro Area","Gulfport-Biloxi-Pascagoula, MS Metro Area",371450,375743,379022,382312,386080,388561,391266
0100000US,United States,310M300US25180,25180,"United States - Hagerstown-Martinsburg, MD-WV Metro Area","Hagerstown-Martinsburg, MD-WV Metro Area",252378,254514,256202,257802,259697,261205,263817
0100000US,United States,310M300US25220,25220,"United States - Hammond, LA Metro Area","Hammond, LA Metro Area",121492,122629,123655,125430,127024,128756,130710
0100000US,United States,310M300US25260,25260,"United States - Hanford-Corcoran, CA Metro Area","Hanford-Corcoran, CA Metro Area",152368,151895,151042,150480,149669,150331,149785
0100000US,United States,310M300US25420,25420,"United States - Harrisburg-Carlisle, PA Metro Area","Harrisburg-Carlisle, PA Metro Area",550247,551791,554898,558061,561145,565096,568033
0100000US,United States,310M300US25500,25500,"United States - Harrisonburg, VA Metro Area","Harrisonburg, VA Metro Area",125414,126870,128524,129037,130465,131182,132822
0100000US,United States,310M300US25540,25540,"United States - Hartford-West Hartford-East Hartford, CT Metro Area","Hartford-West Hartford-East Hartford, CT Metro Area",1214233,1216375,1214938,1214837,1212571,1209953,1206836
0100000US,United States,310M300US25620,25620,"United States - Hattiesburg, MS Metro Area","Hattiesburg, MS Metro Area",143295,145267,146559,147788,148155,148716,149138
0100000US,United States,310M300US25860,25860,"United States - Hickory-Lenoir-Morganton, NC Metro Area","Hickory-Lenoir-Morganton, NC Metro Area",365520,364584,363784,363378,362652,362883,364187
0100000US,United States,310M300US25940,25940,"United States - Hilton Head Island-Bluffton-Beaufort, SC Metro Area","Hilton Head Island-Bluffton-Beaufort, SC Metro Area",187846,189366,193412,197634,202176,207671,211614
0100000US,United States,310M300US25980,25980,"United States - Hinesville, GA Metro Area","Hinesville, GA Metro Area",77368,80383,81590,80707,82325,80328,81007
0100000US,United States,310M300US26140,26140,"United States - Homosassa Springs, FL Metro Area","Homosassa Springs, FL Metro Area",141263,139841,139341,139063,139264,140974,143621
0100000US,United States,310M300US26300,26300,"United States - Hot Springs, AR Metro Area","Hot Springs, AR Metro Area",96123,96617,96794,96986,97183,97154,97477
0100000US,United States,310M300US26380,26380,"United States - Houma-Thibodaux, LA Metro Area","Houma-Thibodaux, LA Metro Area",208224,208655,208878,209951,211395,212187,211525
0100000US,United States,310M300US26420,26420,"United States - Houston-The Woodlands-Sugar Land, TX Metro Area","Houston-The Woodlands-Sugar Land, TX Metro Area",5948174,6057412,6180817,6324167,6488046,6647465,6772470
0100000US,United States,310M300US26580,26580,"United States - Huntington-Ashland, WV-KY-OH Metro Area","Huntington-Ashland, WV-KY-OH Metro Area",365070,364794,364827,363988,363038,361357,359588
0100000US,United States,310M300US26620,26620,"United States - Huntsville, AL Metro Area","Huntsville, AL Metro Area",419311,425165,430141,435608,440761,444924,449720
0100000US,United States,310M300US26820,26820,"United States - Idaho Falls, ID Metro Area","Idaho Falls, ID Metro Area",133815,134972,136254,136928,137978,139651,142572
0100000US,United States,310M300US26900,26900,"United States - Indianapolis-Carmel-Anderson, IN Metro Area","Indianapolis-Carmel-Anderson, IN Metro Area",1892652,1910347,1928964,1953043,1971060,1986542,2004230
