,PUMA_GEOID,PUMA_NAME,CBSA_GEOID,CBSA_NAME,CBSA_POP
2247,3400602,Hudson County (Central)--Jersey City (South) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2246,3400601,Hudson County (Central)--Jersey City (North) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2245,3400702,Hudson County (Northeast)--Union City & Hoboken Cities PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2243,3400906,"Middlesex County (Central)--New Brunswick City, South River & Highland Park Boroughs PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2235,3401501,Morris County (North)--Dover Town & Kinnelon Borough PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2242,3401901,Union County (North Central)--Roselle Park Borough PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2241,3400502,Passaic County (Central)--Hawthorne Borough & Clifton City (Northwest) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2240,3401503,Morris County (East)--Lincoln Park Borough PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2239,3401102,Monmouth County (Southwest)--Freehold Borough PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2238,3401204,Ocean County (Northwest) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2237,3401302,Essex County (Southeast)--Newark City (Southwest) PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2236,3400307,"Bergen County (North Central)--Bergenfield, Paramus, Dumont & New Milford Boroughs PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2231,3401202,Ocean County (Central)--Beachwood Borough PUMA,35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
2651,4200500,"Pike, Wayne & Susquehanna Counties PUMA",35620,"New York-Newark-Jersey City, NY-NJ-PA",19979950
1831,0603712,Los Angeles County (East Central)--Pomona City PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1834,0603716,Los Angeles County (East Central)--La Puente & Industry Cities PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
