,PUMA_GEOID,PUMA_NAME,CBSA_GEOID,CBSA_NAME,CBSA_POP
1316,0603751,Los Angeles County (South Central)--LA City (South Central/Watts) PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1315,0603756,Los Angeles County (Southeast)--Bellflower & Paramount Cities PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1314,0603716,Los Angeles County (East Central)--La Puente & Industry Cities PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1313,0603735,"Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park) PUMA",31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1312,0605913,Orange County (Northwest)--Garden Grove City (East) PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1311,0603712,Los Angeles County (East Central)--Pomona City PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1309,0603703,Los Angeles County (North Central)--Lancaster City PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1308,0603743,Los Angeles County (Central)--East Los Angeles PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1301,0605914,Orange County (Northwest)--Huntington Beach City PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1306,0603744,Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1305,0603740,Los Angeles County (Central)--Pico Rivera & Montebello Cities PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1304,0603733,Los Angeles County (Central)--LA City (Central/Koreatown) PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1303,0603726,"Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities PUMA",31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1302,0603760,"Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities PUMA",31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1319,0603719,Los Angeles County (Central)--Glendale City PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1307,0603741,"Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities PUMA",31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1328,0603702,Los Angeles County (Northwest)--Santa Clarita City PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1320,0603717,"Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities PUMA",31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1321,0605906,"Orange County (North)--Yorba Linda, La Habra & Brea Cities PUMA",31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1340,0603759,Los Angeles County (South Central)--Hawthorne City PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1339,0603761,Los Angeles County (South Central)--Torrance City PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1338,0605904,Orange County (Central)--Irvine City (Central) PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1337,0605915,Orange County (Southeast)--Rancho Santa Margarita City (East) & Ladera Ranch PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1336,0605907,Orange County (North Central)--Fullerton & Placentia Cities PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1335,0603714,"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUMA",31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1334,0603736,Los Angeles County (Central)--Alhambra & South Pasadena Cities PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1333,0603720,Los Angeles County (Central)--Burbank City PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1332,0603723,Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City) PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1331,0603711,"Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities PUMA",31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1330,0603710,"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities PUMA",31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
1329,0603709,Los Angeles County (Central)--San Gabriel Valley Region (North) PUMA,31080,"Los Angeles-Long Beach-Anaheim, CA",13154457
